company_id,churn_flag,plan_tier,billing_cycle,industry,acquisition_channel,mrr,total_tickets,serious_tickets,avg_satisfaction_score,total_events,total_active_users,lifespan_days,champion_reliance_percentage,late_window_events,early_window_events
COMP-0001,Y,starter,annual,Non-Profit,referral,462.26,10,5,2.6250,24,3,102,41.6700,7,17
COMP-0002,N,starter,annual,Legal,partner,152.27,2,1,1.5000,1027,7,544,16.9400,120,218
COMP-0003,N,starter,annual,Finance,referral,432.49,7,2,2.7143,982,5,546,21.2800,105,217
COMP-0004,N,professional,annual,Consulting,paid,964.64,2,0,4.0000,1272,13,427,8.8100,194,360
COMP-0005,N,starter,monthly,Consulting,referral,395.64,2,2,4.0000,966,3,546,34.0600,100,214
COMP-0006,N,professional,annual,Education,partner,966.48,4,1,4.0000,1058,4,341,25.5200,202,340
COMP-0007,N,starter,annual,Education,organic,242.71,5,1,3.4000,534,2,271,50.5600,108,232
COMP-0008,N,enterprise,monthly,Legal,organic,7412.58,5,1,4.3333,2377,59,546,2.1000,228,514
COMP-0009,N,professional,annual,Consulting,direct,618.37,3,1,4.5000,1757,13,546,8.7600,196,383
COMP-0010,N,professional,annual,Logistics,direct,1021.42,3,2,3.5000,842,11,287,10.9300,160,355
COMP-0011,N,starter,annual,Energy,referral,422.52,4,1,4.0000,406,4,238,27.3400,106,205
COMP-0012,N,starter,annual,Technology,paid,406.17,6,0,3.5000,949,6,546,18.6500,119,192
COMP-0013,N,enterprise,annual,Finance,partner,6984.14,6,1,2.4000,2386,60,546,2.2200,248,546
COMP-0014,N,starter,annual,Real Estate,paid,227.08,7,1,3.5714,931,2,516,50.3800,112,203
COMP-0015,N,starter,monthly,Hospitality,referral,403.17,5,1,4.0000,938,3,546,35.6100,111,197
COMP-0016,Y,starter,monthly,Logistics,direct,168.96,4,2,2.3333,98,2,345,52.0400,5,32
COMP-0017,Y,professional,monthly,Education,paid,2077.22,11,3,1.8750,76,10,172,15.7900,9,62
COMP-0018,N,starter,monthly,Energy,paid,290.36,1,0,,1026,2,545,52.6300,108,227
COMP-0019,Y,starter,monthly,Retail,direct,352.71,5,3,2.0000,101,2,296,51.4900,5,36
COMP-0020,N,enterprise,monthly,Hospitality,paid,8101.82,1,1,4.0000,2464,24,546,4.8700,281,515
COMP-0021,N,enterprise,monthly,Technology,partner,4051.46,4,1,2.0000,2368,29,546,4.2700,279,499
COMP-0022,N,starter,monthly,Hospitality,organic,476.64,7,1,3.3333,679,2,357,52.5800,90,240
COMP-0023,N,professional,annual,Media,direct,765.74,2,0,3.0000,1581,3,546,33.8400,191,331
COMP-0024,N,starter,annual,Finance,organic,320.99,3,1,4.3333,959,3,546,35.3500,104,216
COMP-0025,N,starter,monthly,Technology,referral,346.32,2,0,4.0000,935,2,546,51.5500,105,204
COMP-0026,Y,starter,monthly,Energy,direct,428.64,4,3,3.0000,24,5,135,25.0000,4,20
COMP-0027,N,enterprise,monthly,Manufacturing,paid,7699.27,7,3,3.2000,2491,25,534,4.8200,292,559
COMP-0028,N,starter,annual,Hospitality,paid,455.26,6,1,3.0000,908,7,546,15.8600,109,210
COMP-0029,N,professional,monthly,Media,organic,711.07,5,1,2.5000,1750,7,546,15.0900,180,369
COMP-0030,N,starter,annual,Energy,organic,187.94,3,1,4.6667,1035,2,546,50.9200,114,213
COMP-0031,N,starter,monthly,Real Estate,organic,432.28,1,0,2.0000,290,4,167,27.5900,93,197
COMP-0032,N,professional,annual,Education,paid,2040.07,2,1,4.5000,1680,11,546,9.7600,175,363
COMP-0033,N,professional,monthly,Government,partner,878.44,5,0,4.5000,1649,20,546,5.9400,167,355
COMP-0034,Y,professional,monthly,Retail,paid,1357.1,3,3,3.0000,33,20,127,12.1200,8,25
COMP-0035,N,starter,monthly,Legal,paid,235.69,5,4,4.6667,979,4,546,26.7600,109,229
COMP-0036,N,professional,monthly,Hospitality,referral,608.87,1,0,3.0000,1512,7,492,15.4800,198,352
COMP-0037,N,enterprise,monthly,Education,paid,5520.18,9,3,3.4444,1093,39,242,3.4800,268,544
COMP-0038,N,enterprise,annual,Logistics,organic,4184.75,7,4,4.5000,1845,30,405,4.2300,281,552
COMP-0039,N,professional,monthly,Real Estate,organic,2028.84,4,3,4.5000,1579,3,546,35.7800,175,330
COMP-0040,N,professional,monthly,Finance,paid,1272.23,6,1,3.2000,1643,15,546,7.4300,184,364
COMP-0041,N,starter,monthly,Logistics,direct,442.51,1,0,3.0000,485,4,266,27.8400,105,220
COMP-0042,N,professional,monthly,Hospitality,referral,1877.03,3,1,4.3333,1640,10,546,11.0400,165,351
COMP-0043,N,starter,monthly,Legal,direct,213.61,1,1,4.0000,996,2,546,51.6100,110,212
COMP-0044,N,starter,monthly,Manufacturing,paid,338.8,4,0,3.5000,1016,2,546,51.6700,120,208
COMP-0045,N,professional,monthly,Non-Profit,organic,783.02,3,1,4.0000,1563,10,546,10.6800,171,320
COMP-0046,N,enterprise,monthly,Finance,paid,4527.72,3,1,4.0000,1583,36,354,3.6600,269,540
COMP-0047,N,starter,annual,Government,partner,360.14,5,1,3.2500,444,2,256,54.0500,107,211
COMP-0048,N,professional,monthly,Manufacturing,partner,1915.73,6,3,4.3333,1626,4,546,25.7100,182,383
COMP-0049,N,professional,annual,Energy,partner,1343.8,2,1,4.5000,1260,11,409,10.7100,185,363
COMP-0050,N,professional,annual,Education,organic,1390.89,7,3,4.1429,1635,10,546,10.9500,200,343
COMP-0051,N,professional,monthly,Retail,paid,986.17,6,3,4.2000,1646,5,546,21.6900,171,357
COMP-0052,N,starter,annual,Non-Profit,organic,353.54,7,3,3.8000,996,4,545,26.7100,97,224
COMP-0053,N,starter,monthly,Government,paid,217.4,5,1,5.0000,301,3,156,36.8800,114,187
COMP-0054,N,enterprise,annual,Education,organic,4845.73,9,4,3.5714,2459,9,546,11.9200,264,504
COMP-0055,N,professional,annual,Technology,paid,619.62,3,1,2.6667,1666,12,546,10.0200,178,385
COMP-0056,Y,professional,monthly,Technology,referral,685.77,9,4,2.3333,34,7,119,20.5900,12,22
COMP-0057,N,professional,monthly,Logistics,direct,2184.05,3,1,4.0000,1684,11,546,10.1500,186,356
COMP-0058,N,professional,monthly,Government,paid,720.1,5,1,2.7500,1566,3,546,35.2500,181,356
COMP-0059,N,starter,monthly,Education,organic,426.94,1,0,1.0000,980,2,544,52.5500,110,221
COMP-0060,Y,starter,monthly,Real Estate,organic,412.14,7,2,2.8000,52,5,202,30.7700,3,41
COMP-0061,N,professional,annual,Retail,partner,1565.94,6,2,4.1667,1640,4,545,25.4300,171,369
COMP-0062,N,professional,annual,Non-Profit,direct,890.38,1,1,3.0000,1684,5,546,21.1400,184,366
COMP-0063,N,enterprise,monthly,Media,referral,4373.42,2,0,3.0000,1206,34,265,4.4800,270,550
COMP-0064,N,enterprise,annual,Healthcare,paid,8150.89,7,1,4.2000,2455,42,546,2.9700,284,536
COMP-0065,N,starter,monthly,Legal,organic,458.3,7,3,3.1429,996,4,546,25.8000,111,218
