ticket_id,company_id,created_date,resolved_date,priority,category,description,satisfaction_score
TKT-000001,COMP-0001,03-27-2024,04-09-2024,high,technical,,3
TKT-000002,COMP-0001,03-23-2024,04-01-2024,medium,bug_report,Formatting lost when pasting from Word,
TKT-000003,COMP-0001,03-17-2024,03-19-2024,medium,billing,Requesting refund for unused period,2
TKT-000004,COMP-0001,01-01-2024,01-14-2024,low,billing,Requesting refund for unused period,3
TKT-000005,COMP-0001,02-02-2024,02-03-2024,high,onboarding,Best practices documentation request,1
TKT-000006,COMP-0001,04-07-2024,04-21-2024,high,feature_request,,2
TKT-000007,COMP-0001,02-11-2024,02-16-2024,low,bug_report,,
TKT-000008,COMP-0001,04-28-2024,05-12-2024,high,account,Change primary admin contact,4
TKT-000009,COMP-0001,02-07-2024,,medium,bug_report,Notifications arriving late,4
TKT-000010,COMP-0001,01-08-2024,01-16-2024,high,technical,Application loading slowly for our team,2
TKT-000011,COMP-0002,05-27-2024,05-29-2024,medium,technical,Error 500 when accessing the dashboard,1
TKT-000012,COMP-0002,04-16-2025,04-29-2025,high,feature_request,Dark mode support requested,2
TKT-000013,COMP-0003,09-11-2024,09-14-2024,low,bug_report,Calendar sync showing wrong timezone,5
TKT-000014,COMP-0003,07-22-2024,07-26-2024,low,technical,SSO login failing intermittently,2
TKT-000015,COMP-0003,12-16-2024,12-30-2024,HIGH,account,Change primary admin contact,1
TKT-000016,COMP-0003,02-29-2024,03-11-2024,low,technical,Mobile app crashing on iOS 17,1
TKT-000017,COMP-0003,09-25-2024,09-27-2024,critical,bug_report,Search returning incorrect results,4
TKT-000018,COMP-0003,12-16-2024,12-19-2024,low,account,Account permissions not working correctly,5
TKT-000019,COMP-0003,11-25-2024,11-29-2024,medium,bug_report,Calendar sync showing wrong timezone,1
TKT-000020,COMP-0004,04-16-2025,04-23-2025,low,onboarding,Best practices documentation request,
TKT-000021,COMP-0004,04-21-2025,04-26-2025,medium,billing,Tax exemption certificate submission,4
TKT-000022,COMP-0005,02-03-2024,02-07-2024,high,onboarding,Training session request for team,3
TKT-000023,COMP-0005,06-13-2025,06-23-2025,high,bug_report,,5
TKT-000024,COMP-0006,06-09-2025,06-19-2025,medium,bug_report,Formatting lost when pasting from Word,5
TKT-000025,COMP-0006,08-21-2024,08-25-2024,CRITICAL,technical,Data export timing out for large datasets,4
TKT-000026,COMP-0006,10-14-2024,10-28-2024,low,technical,Data export timing out for large datasets,3
TKT-000027,COMP-0006,02-09-2025,02-20-2025,medium,onboarding,Migration assistance from competitor tool,
TKT-000028,COMP-0007,10-23-2024,,high,onboarding,Training session request for team,5
TKT-000029,COMP-0007,06-30-2025,06-30-2025,low,technical,Data export timing out for large datasets,3
TKT-000030,COMP-0007,03-16-2025,03-24-2025,low,technical,SSO login failing intermittently,4
TKT-000031,COMP-0007,04-22-2025,04-23-2025,low,onboarding,Template setup assistance needed,4
TKT-000032,COMP-0007,01-25-2025,01-31-2025,low,feature_request,,1
TKT-000033,COMP-0008,08-30-2024,09-12-2024,medium,account,Change primary admin contact,
TKT-000034,COMP-0008,10-12-2024,10-19-2024,medium,onboarding,Need help setting up first project,4
TKT-000035,COMP-0008,05-15-2024,05-25-2024,medium,technical,SSO login failing intermittently,
