subscription_id,company_id,plan_tier,billing_cycle,start_date,end_date,churn_flag,mrr,contract_value
SUB-00001,COMP-0001,Starter,annual,2022-07-03,2024-05-06,Y,462.26,5398.42
SUB-00002,COMP-0002,Starter,annual,2023-08-07,,N,152.27,1677.16
SUB-00003,COMP-0003,Starter,annual,2022-10-06,,N,432.49,4598.63
SUB-00004,COMP-0004,Professional,annual,2024-04-29,,N,964.64,10809.06
SUB-00005,COMP-0005,Starter,monthly,2022-11-23,,N,395.64,395.64
SUB-00006,COMP-0006,Professional,annual,2024-07-24,,N,966.48,9879.71
SUB-00007,COMP-0007,Starter,annual,2024-10-02,,N,242.71,2795.34
SUB-00008,COMP-0008,Enterprise,monthly,2022-11-11,,N,7412.58,7412.58
SUB-00009,COMP-0009,Professional,annual,2023-12-02,,N,618.37,7364.71
SUB-00010,COMP-0010,Professional,annual,2024-09-16,,N,1021.42,10662.48
SUB-00011,COMP-0011,Starter,annual,2024-11-02,,N,422.52,4534.66
SUB-00012,COMP-0012,Starter,annual,2023-11-28,,N,406.17,4616.43
SUB-00013,COMP-0013,Enterprise,annual,2023-06-18,,N,6984.14,72378.83
SUB-00014,COMP-0014,Starter,annual,2024-01-31,,N,227.08,2512.32
SUB-00015,COMP-0015,Starter,monthly,2023-02-04,,N,403.17,403.17
SUB-00016,COMP-0016,Starter,monthly,2024-02-20,2025-02-07,Y,168.96,168.96
SUB-00017,COMP-0017,Professional,monthly,2024-10-08,2025-04-13,Y,2077.22,2077.22
SUB-00018,COMP-0018,Starter,monthly,2022-06-03,,N,290.36,290.36
SUB-00019,COMP-0019,Starter,monthly,2023-04-18,2024-11-02,Y,352.71,352.71
SUB-00020,COMP-0020,Enterprise,monthly,2023-02-08,,N,8101.82,8101.82
SUB-00021,COMP-0021,Enterprise,monthly,2023-04-04,,N,4051.46,4051.46
SUB-00022,COMP-0022,Starter,monthly,2024-07-08,,N,476.64,476.64
SUB-00023,COMP-0023,Professional,annual,2022-09-18,,N,765.74,8230.71
SUB-00024,COMP-0024,Starter,annual,2023-08-08,,N,320.99,3680.45
SUB-00025,COMP-0025,Starter,monthly,2022-10-31,,N,346.32,346.32
SUB-00026,COMP-0026,Starter,monthly,2023-06-02,2024-05-23,Y,428.64,428.64
SUB-00027,COMP-0027,Enterprise,monthly,2024-01-13,,N,7699.27,7699.27
SUB-00028,COMP-0028,Starter,annual,2022-12-22,,N,455.26,5346.69
SUB-00029,COMP-0029,Professional,monthly,2023-11-04,,N,711.07,711.07
SUB-00030,COMP-0030,Starter,annual,2023-04-18,,N,187.94,2169.79
SUB-00031,COMP-0031,Starter,monthly,2025-01-14,,N,432.28,432.28
SUB-00032,COMP-0032,Professional,annual,2023-07-24,,N,2040.07,20898.36
SUB-00033,COMP-0033,Professional,monthly,2023-12-14,,N,878.44,878.44
SUB-00034,COMP-0034,Professional,monthly,2024-12-03,2025-04-12,Y,1357.1,1357.1
SUB-00035,COMP-0035,Starter,monthly,2022-08-14,,N,235.69,235.69
SUB-00036,COMP-0036,Professional,monthly,2024-02-24,,N,608.87,608.87
SUB-00037,COMP-0037,Enterprise,monthly,2024-10-31,,N,5520.18,5520.18
SUB-00038,COMP-0038,Enterprise,annual,2024-05-21,,N,4184.75,46110.56
SUB-00039,COMP-0039,Professional,monthly,2023-01-23,,N,2028.84,2028.84
SUB-00040,COMP-0040,Professional,monthly,2022-06-21,,N,1272.23,1272.23
SUB-00041,COMP-0041,Starter,monthly,2024-10-06,,N,442.51,442.51
SUB-00042,COMP-0042,Professional,monthly,2023-09-22,,N,1877.03,1877.03
SUB-00043,COMP-0043,Starter,monthly,2023-01-03,,N,213.61,213.61
SUB-00044,COMP-0044,Starter,monthly,2022-08-10,,N,338.8,338.8
SUB-00045,COMP-0045,Professional,monthly,2023-02-18,,N,783.02,783.02
SUB-00046,COMP-0046,Enterprise,monthly,2024-07-11,,N,4527.72,4527.72
SUB-00047,COMP-0047,Starter,annual,2024-10-16,,N,360.14,4173.77
SUB-00048,COMP-0048,Professional,monthly,2023-06-06,,N,1915.73,1915.73
SUB-00049,COMP-0049,Professional,annual,2024-05-17,,N,1343.8,15821.31
SUB-00050,COMP-0050,Professional,annual,2023-01-04,,N,1390.89,15201.94
SUB-00051,COMP-0051,Professional,monthly,2023-02-02,,N,986.17,986.17
SUB-00052,COMP-0052,Starter,annual,2023-05-19,,N,353.54,4108.75
SUB-00053,COMP-0053,Starter,monthly,2025-01-25,,N,217.4,217.4
SUB-00054,COMP-0054,Enterprise,annual,2023-11-29,,N,4845.73,52657.37
SUB-00055,COMP-0055,Professional,annual,2023-08-26,,N,619.62,6837.96
SUB-00056,COMP-0056,Professional,monthly,2024-06-04,2024-10-09,Y,685.77,685.77
SUB-00057,COMP-0057,Professional,monthly,2022-08-01,,N,2184.05,2184.05
SUB-00058,COMP-0058,Professional,monthly,2023-09-25,,N,720.1,720.1
SUB-00059,COMP-0059,Starter,monthly,2022-12-20,,N,426.94,426.94
SUB-00060,COMP-0060,Starter,monthly,2024-08-12,2025-03-12,Y,412.14,412.14
SUB-00061,COMP-0061,Professional,annual,2022-06-22,,N,1565.94,17757.95
SUB-00062,COMP-0062,Professional,annual,2023-10-17,,N,890.38,10460.8
SUB-00063,COMP-0063,Enterprise,monthly,2024-10-08,,N,4373.42,4373.42
SUB-00064,COMP-0064,Enterprise,annual,2022-12-10,,N,8150.89,84176.34
SUB-00065,COMP-0065,Starter,monthly,2023-02-01,,N,458.3,458.3
SUB-00066,COMP-0066,Starter,annual,2024-09-12,,N,481.47,5685.29
SUB-00067,COMP-0067,Enterprise,monthly,2022-10-18,,N,4993.31,4993.31
SUB-00068,COMP-0068,Starter,monthly,2024-08-16,,N,499.62,499.62
SUB-00069,COMP-0069,Professional,monthly,2023-07-26,2025-01-27,Y,1716.0,1716.0
SUB-00070,COMP-0070,Enterprise,annual,2022-10-26,,N,5918.68,63917.19
SUB-00071,COMP-0071,Starter,annual,2023-11-29,,N,448.12,4597.21
SUB-00072,COMP-0072,Starter,annual,2022-09-09,,N,229.62,2518.16
SUB-00073,COMP-0073,Enterprise,monthly,2023-02-06,,N,4406.89,4406.89
SUB-00074,COMP-0074,Professional,monthly,2023-09-14,,N,828.99,828.99
SUB-00075,COMP-0075,Starter,annual,2023-09-11,,N,254.7,2721.63
SUB-00076,COMP-0076,Professional,annual,2022-06-09,,N,1072.37,12764.39
SUB-00077,COMP-0077,Professional,monthly,2025-01-27,,N,1593.43,1593.43
SUB-00078,COMP-0078,Starter,monthly,2024-06-16,,N,406.33,406.33
SUB-00079,COMP-0079,Professional,annual,2024-05-31,,N,1011.15,11301.0
SUB-00080,COMP-0080,Enterprise,annual,2022-09-01,,N,8787.25,102196.26
SUB-00081,COMP-0081,Professional,annual,2023-01-26,,N,1915.87,22258.28
SUB-00082,COMP-0082,Professional,monthly,2022-07-09,,N,1638.78,1638.78
SUB-00083,COMP-0083,Starter,monthly,2022-11-06,,N,393.77,393.77
SUB-00084,COMP-0084,Starter,monthly,2023-06-12,,N,482.69,482.69
SUB-00085,COMP-0085,Enterprise,annual,2022-06-22,,N,3095.88,32029.13
SUB-00086,COMP-0086,Enterprise,annual,2022-10-30,,N,7784.84,91748.43
SUB-00087,COMP-0087,Enterprise,monthly,2024-05-01,,N,3356.72,3356.72
SUB-00088,COMP-0088,Professional,annual,2023-09-06,,N,1844.83,21260.5
SUB-00089,COMP-0089,Starter,monthly,2024-08-15,2024-09-23,Y,390.13,390.13
SUB-00090,COMP-0090,Starter,annual,2022-09-26,,N,326.94,3367.04
SUB-00091,COMP-0091,Professional,annual,2023-02-17,,N,1767.38,21034.61
SUB-00092,COMP-0092,Starter,monthly,2023-12-28,,N,434.12,434.12
SUB-00093,COMP-0093,Enterprise,annual,2023-11-02,,N,6402.67,73082.48
SUB-00094,COMP-0094,Starter,monthly,2024-11-14,,N,300.19,300.19
SUB-00095,COMP-0095,Starter,monthly,2022-10-25,,N,472.54,472.54
SUB-00096,COMP-0096,Starter,monthly,2023-04-29,,N,308.78,308.78
SUB-00097,COMP-0097,Enterprise,monthly,2023-08-27,,N,5380.23,5380.23
SUB-00098,COMP-0098,Starter,annual,2022-07-27,2024-06-25,Y,383.5,4524.67
SUB-00099,COMP-0099,Starter,annual,2023-12-25,,N,283.07,2943.85
SUB-00100,COMP-0100,Professional,monthly,2023-08-02,,N,1100.9,1100.9
SUB-00101,COMP-0101,Enterprise,annual,2023-07-16,,N,7989.15,86746.7
SUB-00102,COMP-0102,Starter,annual,2022-10-30,,N,217.87,2465.08
SUB-00103,COMP-0103,Enterprise,annual,2023-12-30,,N,7523.51,81690.48
SUB-00104,COMP-0104,Professional,monthly,2023-11-02,2024-08-19,Y,1874.13,1874.13
SUB-00105,COMP-0105,Professional,monthly,2024-01-22,,N,1486.91,1486.91
SUB-00106,COMP-0106,Professional,annual,2024-02-13,,N,1897.55,19953.65
SUB-00107,COMP-0107,Professional,annual,2023-05-13,,N,2068.7,23181.49
SUB-00108,COMP-0108,Professional,monthly,2024-06-19,2025-02-15,Y,1962.51,1962.51
SUB-00109,COMP-0109,Starter,monthly,2025-01-13,,N,434.61,434.61
SUB-00110,COMP-0110,Professional,monthly,2024-09-05,,N,2121.87,2121.87
SUB-00111,COMP-0111,Professional,monthly,2022-10-13,,N,1442.45,1442.45
SUB-00112,COMP-0112,Professional,monthly,2023-09-03,,N,1751.34,1751.34
SUB-00113,COMP-0113,Professional,monthly,2024-11-05,,N,1443.94,1443.94
SUB-00114,COMP-0114,Professional,monthly,2023-11-08,2024-08-25,Y,734.2,734.2
SUB-00115,COMP-0115,Starter,monthly,2022-09-10,,N,178.56,178.56
SUB-00116,COMP-0116,Enterprise,monthly,2022-06-06,,N,7432.47,7432.47
SUB-00117,COMP-0117,Starter,monthly,2023-09-12,2025-03-31,Y,166.71,166.71
SUB-00118,COMP-0118,Professional,monthly,2022-08-27,,N,1164.51,1164.51
SUB-00119,COMP-0119,Starter,monthly,2024-07-01,,N,493.36,493.36
SUB-00120,COMP-0120,Starter,monthly,2024-08-25,,N,374.98,374.98
SUB-00121,COMP-0121,Starter,monthly,2024-09-20,,N,460.03,460.03
SUB-00122,COMP-0122,Starter,annual,2023-06-12,,N,379.51,3916.77
SUB-00123,COMP-0123,Professional,monthly,2023-08-09,2024-11-21,Y,1430.84,1430.84
SUB-00124,COMP-0124,Professional,monthly,2023-09-01,2025-04-26,Y,1281.79,1281.79
SUB-00125,COMP-0125,Starter,annual,2022-07-02,,N,430.38,4939.39
SUB-00126,COMP-0126,Enterprise,monthly,2023-09-04,,N,6187.09,6187.09
SUB-00127,COMP-0127,Starter,annual,2023-11-13,,N,189.71,2004.95
SUB-00128,COMP-0128,Starter,annual,2022-08-15,,N,499.52,5977.38
SUB-00129,COMP-0129,Professional,annual,2024-12-30,,N,1064.58,11315.99
SUB-00130,COMP-0130,Starter,monthly,2023-06-13,,N,426.63,426.63
SUB-00131,COMP-0131,Enterprise,annual,2022-10-07,,N,7499.57,78028.55
SUB-00132,COMP-0132,Starter,annual,2024-08-09,,N,355.73,3934.83
SUB-00133,COMP-0133,Starter,monthly,2024-02-10,,N,271.11,271.11
SUB-00134,COMP-0134,Professional,monthly,2023-05-12,,N,1546.89,1546.89
SUB-00135,COMP-0135,Professional,annual,2024-10-06,,N,1622.39,19290.97
SUB-00136,COMP-0136,Professional,annual,2022-10-26,,N,1264.99,14223.82
SUB-00137,COMP-0137,Professional,monthly,2022-09-08,2025-06-03,Y,796.04,796.04
SUB-00138,COMP-0138,Starter,monthly,2022-09-01,,N,313.39,313.39
SUB-00139,COMP-0139,Starter,monthly,2023-12-02,2024-02-24,Y,445.0,445.0
SUB-00140,COMP-0140,Starter,monthly,2023-10-30,,N,276.88,276.88
SUB-00141,COMP-0141,Starter,annual,2023-11-04,,N,478.63,5708.33
SUB-00142,COMP-0142,Enterprise,monthly,2023-04-23,,N,8305.36,8305.36
SUB-00143,COMP-0143,Professional,monthly,2023-08-01,,N,1189.37,1189.37
SUB-00144,COMP-0144,Enterprise,annual,2023-10-05,,N,6254.62,66159.05
SUB-00145,COMP-0145,Starter,annual,2023-07-28,,N,156.63,1807.67
SUB-00146,COMP-0146,Professional,monthly,2023-04-18,,N,2197.0,2197.0
SUB-00147,COMP-0147,Professional,monthly,2024-06-01,,N,1492.94,1492.94
SUB-00148,COMP-0148,Professional,annual,2023-06-24,,N,1060.46,11247.01
SUB-00149,COMP-0149,Enterprise,monthly,2022-12-24,,N,6763.82,6763.82
SUB-00150,COMP-0150,Starter,annual,2023-05-05,,N,373.28,4044.44
SUB-00151,COMP-0151,Professional,annual,2024-05-27,,N,1363.92,14568.36
SUB-00152,COMP-0152,Professional,annual,2022-11-28,,N,2061.17,23547.65
SUB-00153,COMP-0153,Enterprise,monthly,2023-12-09,,N,3197.45,3197.45
SUB-00154,COMP-0154,Enterprise,monthly,2023-05-12,,N,6713.85,6713.85
SUB-00155,COMP-0155,Enterprise,monthly,2024-09-01,,N,6850.16,6850.16
SUB-00156,COMP-0156,Enterprise,annual,2023-06-04,,N,7198.74,77018.32
SUB-00157,COMP-0157,Professional,annual,2023-03-30,,N,1831.75,18892.79
SUB-00158,COMP-0158,Professional,annual,2024-12-06,,N,1478.78,16002.48
SUB-00159,COMP-0159,Starter,annual,2023-12-02,2024-07-05,Y,341.68,3784.18
SUB-00160,COMP-0160,Starter,monthly,2023-12-30,2024-08-27,Y,308.7,308.7
SUB-00161,COMP-0161,Professional,annual,2022-08-01,,N,1151.25,12834.17
SUB-00162,COMP-0162,Enterprise,annual,2023-06-27,,N,6698.23,69801.43
SUB-00163,COMP-0163,Professional,monthly,2023-01-15,,N,1459.61,1459.61
SUB-00164,COMP-0164,Professional,annual,2022-09-24,2025-01-04,Y,1153.86,13243.64
SUB-00165,COMP-0165,Professional,monthly,2024-07-24,,N,1995.54,1995.54
SUB-00166,COMP-0166,Starter,annual,2023-04-25,,N,352.12,4021.55
SUB-00167,COMP-0167,Starter,annual,2023-08-12,,N,407.32,4545.34
SUB-00168,COMP-0168,Professional,monthly,2024-06-02,,N,1460.69,1460.69
SUB-00169,COMP-0169,Professional,monthly,2023-09-04,,N,925.34,925.34
SUB-00170,COMP-0170,Professional,annual,2023-12-25,,N,901.06,9664.84
SUB-00171,COMP-0171,Enterprise,monthly,2022-12-27,,N,5612.99,5612.99
SUB-00172,COMP-0172,Professional,annual,2023-09-24,,N,1175.43,13303.18
SUB-00173,COMP-0173,Professional,monthly,2023-08-02,,N,1017.24,1017.24
SUB-00174,COMP-0174,Professional,annual,2023-10-16,,N,1011.72,11776.25
SUB-00175,COMP-0175,Starter,annual,2022-08-16,,N,485.03,5772.66
SUB-00176,COMP-0176,Starter,monthly,2023-10-08,,N,309.6,309.6
SUB-00177,COMP-0177,Starter,annual,2024-12-11,,N,250.34,2917.92
SUB-00178,COMP-0178,Starter,annual,2023-06-18,,N,274.05,3259.43
SUB-00179,COMP-0179,Professional,annual,2023-07-21,,N,1973.15,20359.22
SUB-00180,COMP-0180,Starter,annual,2024-09-27,,N,265.94,3139.53
SUB-00181,COMP-0181,Enterprise,annual,2023-04-19,2024-04-24,Y,6029.7,66472.46
SUB-00182,COMP-0182,Professional,annual,2024-03-12,,N,1464.9,15153.37
SUB-00183,COMP-0183,Starter,monthly,2023-07-12,,N,269.21,269.21
SUB-00184,COMP-0184,Starter,annual,2023-03-30,,N,387.89,4583.43
SUB-00185,COMP-0185,Professional,annual,2023-04-12,,N,1106.69,11862.69
SUB-00186,COMP-0186,Professional,annual,2022-09-04,,N,765.27,9123.49
SUB-00187,COMP-0187,Starter,monthly,2022-11-21,,N,466.82,466.82
SUB-00188,COMP-0188,Starter,monthly,2023-02-13,,N,254.91,254.91
SUB-00189,COMP-0189,Professional,monthly,2023-05-04,,N,1233.11,1233.11
SUB-00190,COMP-0190,Professional,monthly,2023-10-16,,N,1110.62,1110.62
SUB-00191,COMP-0191,Starter,annual,2023-12-16,2025-01-21,Y,499.04,5188.45
SUB-00192,COMP-0192,Starter,monthly,2024-02-07,,N,203.95,203.95
SUB-00193,COMP-0193,Professional,annual,2022-08-27,,N,2032.8,21744.25
SUB-00194,COMP-0194,Professional,annual,2024-08-08,,N,2146.9,24592.2
SUB-00195,COMP-0195,Professional,monthly,2022-06-26,,N,1541.74,1541.74
SUB-00196,COMP-0196,Starter,monthly,2023-08-23,,N,332.39,332.39
SUB-00197,COMP-0197,Starter,monthly,2022-11-26,,N,430.02,430.02
SUB-00198,COMP-0198,Professional,monthly,2022-12-20,,N,1232.93,1232.93
SUB-00199,COMP-0199,Starter,annual,2024-04-05,,N,352.07,3905.65
SUB-00200,COMP-0200,Professional,annual,2023-05-27,,N,1578.09,18581.99
SUB-00201,COMP-0201,Professional,monthly,2023-11-06,,N,787.12,787.12
SUB-00202,COMP-0202,Professional,monthly,2023-10-15,,N,2089.11,2089.11
SUB-00203,COMP-0203,Enterprise,monthly,2023-10-20,,N,4995.64,4995.64
SUB-00204,COMP-0204,Professional,annual,2022-11-20,,N,652.31,7264.93
SUB-00205,COMP-0205,Starter,monthly,2023-08-26,,N,339.72,339.72
SUB-00206,COMP-0206,Professional,monthly,2024-05-01,,N,1302.51,1302.51
SUB-00207,COMP-0207,Starter,monthly,2023-11-28,2024-09-27,Y,222.43,222.43
SUB-00208,COMP-0208,Starter,annual,2024-03-05,,N,170.75,1934.44
SUB-00209,COMP-0209,Enterprise,annual,2023-06-20,,N,6253.27,67083.24
SUB-00210,COMP-0210,Professional,annual,2022-09-04,,N,1380.87,16494.82
SUB-00211,COMP-0211,Starter,monthly,2023-12-13,,N,243.99,243.99
SUB-00212,COMP-0212,Starter,annual,2023-09-11,2025-06-20,Y,155.7,1739.88
SUB-00213,COMP-0213,Starter,monthly,2023-07-11,,N,382.58,382.58
SUB-00214,COMP-0214,Starter,monthly,2022-06-09,,N,229.17,229.17
SUB-00215,COMP-0215,Starter,monthly,2023-04-03,2025-02-18,Y,185.85,185.85
SUB-00216,COMP-0216,Professional,monthly,2023-07-27,,N,940.89,940.89
SUB-00217,COMP-0217,Professional,monthly,2022-08-26,,N,1103.21,1103.21
SUB-00218,COMP-0218,Enterprise,annual,2023-07-07,,N,5865.37,61220.67
SUB-00219,COMP-0219,Professional,annual,2024-03-08,,N,2164.32,23426.73
SUB-00220,COMP-0220,Enterprise,annual,2023-01-07,2024-03-03,Y,2608.48,28690.54
SUB-00221,COMP-0221,Professional,monthly,2022-08-20,,N,1585.68,1585.68
SUB-00222,COMP-0222,Starter,monthly,2023-08-19,2024-11-17,Y,233.52,233.52
SUB-00223,COMP-0223,Professional,monthly,2024-05-12,,N,1436.81,1436.81
SUB-00224,COMP-0224,Starter,monthly,2023-10-22,,N,242.03,242.03
SUB-00225,COMP-0225,Starter,annual,2023-11-04,2025-04-15,Y,385.94,4384.45
SUB-00226,COMP-0226,Starter,annual,2024-08-02,,N,431.09,4623.32
SUB-00227,COMP-0227,Professional,monthly,2024-01-24,,N,684.28,684.28
SUB-00228,COMP-0228,Starter,annual,2025-01-13,,N,220.23,2271.3
SUB-00229,COMP-0229,Professional,monthly,2023-12-07,,N,840.91,840.91
SUB-00230,COMP-0230,Enterprise,annual,2022-08-01,,N,5943.79,69953.82
SUB-00231,COMP-0231,Enterprise,monthly,2022-09-06,,N,4921.2,4921.2
SUB-00232,COMP-0232,Professional,annual,2024-07-20,,N,1017.59,10804.96
SUB-00233,COMP-0233,Starter,monthly,2023-09-04,,N,354.65,354.65
SUB-00234,COMP-0234,Professional,monthly,2022-07-12,,N,744.67,744.67
SUB-00235,COMP-0235,Enterprise,monthly,2024-01-16,,N,4442.46,4442.46
SUB-00236,COMP-0236,Starter,monthly,2024-04-23,2025-04-19,Y,192.51,192.51
SUB-00237,COMP-0237,Enterprise,monthly,2022-10-10,,N,3785.38,3785.38
SUB-00238,COMP-0238,Starter,annual,2023-08-11,,N,403.55,4804.43
SUB-00239,COMP-0239,Starter,annual,2024-09-02,2024-11-25,Y,253.29,2877.48
SUB-00240,COMP-0240,Enterprise,annual,2023-10-28,,N,6039.37,66077.02
SUB-00241,COMP-0241,Starter,annual,2023-01-25,,N,433.03,4684.1
SUB-00242,COMP-0242,Enterprise,annual,2022-11-25,,N,8887.32,100985.66
SUB-00243,COMP-0243,Enterprise,annual,2024-09-09,,N,3723.52,40166.92
SUB-00244,COMP-0244,Professional,monthly,2022-10-12,,N,1130.77,1130.77
SUB-00245,COMP-0245,Enterprise,annual,2024-12-05,,N,8743.63,98523.6
SUB-00246,COMP-0246,Professional,monthly,2023-12-28,,N,1379.52,1379.52
SUB-00247,COMP-0247,Starter,annual,2024-10-20,,N,212.2,2430.61
SUB-00248,COMP-0248,Enterprise,annual,2022-08-19,,N,6176.08,72355.46
SUB-00249,COMP-0249,Professional,monthly,2025-01-03,2025-03-07,Y,708.47,708.47
SUB-00250,COMP-0250,Starter,monthly,2023-09-06,2025-03-25,Y,377.84,377.84
SUB-00251,COMP-0251,Starter,monthly,2023-10-08,,N,341.47,341.47
SUB-00252,COMP-0252,Starter,annual,2023-03-16,,N,343.94,3783.84
SUB-00253,COMP-0253,Starter,monthly,2023-10-05,2024-01-31,Y,253.09,253.09
SUB-00254,COMP-0254,Starter,monthly,2023-07-02,2025-04-26,Y,381.36,381.36
SUB-00255,COMP-0255,Starter,annual,2022-08-27,,N,202.9,2180.64
SUB-00256,COMP-0256,Professional,annual,2023-09-30,,N,1269.81,13253.66
SUB-00257,COMP-0257,Professional,annual,2023-09-03,,N,1684.06,19570.17
SUB-00258,COMP-0258,Starter,annual,2024-05-12,,N,437.9,4601.95
SUB-00259,COMP-0259,Professional,annual,2024-11-15,,N,2067.46,22055.69
SUB-00260,COMP-0260,Professional,annual,2022-09-12,,N,760.33,8418.1
SUB-00261,COMP-0261,Professional,annual,2023-07-17,2025-04-25,Y,875.52,10460.1
SUB-00262,COMP-0262,Enterprise,monthly,2024-12-22,,N,4469.86,4469.86
SUB-00263,COMP-0263,Enterprise,monthly,2023-01-03,,N,6432.36,6432.36
SUB-00264,COMP-0264,Professional,monthly,2024-09-25,,N,1410.87,1410.87
SUB-00265,COMP-0265,Starter,monthly,2023-09-19,,N,396.62,396.62
SUB-00266,COMP-0266,Professional,monthly,2023-02-20,,N,1539.01,1539.01
SUB-00267,COMP-0267,Starter,annual,2022-12-29,,N,449.99,5213.38
SUB-00268,COMP-0268,Professional,monthly,2023-04-09,,N,1881.38,1881.38
SUB-00269,COMP-0269,Professional,monthly,2022-09-13,2025-06-25,Y,1433.02,1433.02
SUB-00270,COMP-0270,Professional,monthly,2023-04-02,,N,1120.22,1120.22
SUB-00271,COMP-0271,Professional,annual,2024-07-26,,N,2195.95,22585.73
SUB-00272,COMP-0272,Professional,annual,2022-11-22,,N,2105.07,22809.73
SUB-00273,COMP-0273,Starter,monthly,2024-06-20,,N,417.02,417.02
SUB-00274,COMP-0274,Professional,annual,2024-08-28,2025-04-03,Y,1536.91,16937.77
SUB-00275,COMP-0275,Enterprise,monthly,2022-12-23,,N,2851.4,2851.4
SUB-00276,COMP-0276,Enterprise,monthly,2023-09-06,,N,3649.36,3649.36
SUB-00277,COMP-0277,Enterprise,annual,2023-10-02,,N,5319.12,55847.85
SUB-00278,COMP-0278,Enterprise,annual,2023-02-10,,N,2616.45,31040.09
SUB-00279,COMP-0279,Professional,monthly,2023-11-15,,N,673.15,673.15
SUB-00280,COMP-0280,Starter,monthly,2023-01-16,,N,471.37,471.37
SUB-00281,COMP-0281,Starter,annual,2023-11-30,,N,281.32,3229.91
SUB-00282,COMP-0282,Starter,monthly,2022-11-04,2024-12-16,Y,193.26,193.26
SUB-00283,COMP-0283,Professional,annual,2024-03-01,,N,2037.8,21831.86
SUB-00284,COMP-0284,Enterprise,annual,2022-07-11,,N,4826.49,57685.1
SUB-00285,COMP-0285,Starter,monthly,2022-09-01,,N,350.95,350.95
SUB-00286,COMP-0286,Enterprise,monthly,2024-05-28,,N,3148.76,3148.76
SUB-00287,COMP-0287,Enterprise,annual,2023-06-02,,N,3399.56,39811.56
SUB-00288,COMP-0288,Starter,monthly,2023-10-03,,N,245.14,245.14
SUB-00289,COMP-0289,Enterprise,annual,2024-12-13,,N,8422.97,96418.97
SUB-00290,COMP-0290,Professional,monthly,2023-04-18,2025-05-01,Y,1305.1,1305.1
