company_id,company_name,industry,employee_count,country,plan_tier,billing_cycle,acquisition_channel,mrr,num_seats,signup_date
COMP-0001,"Rodriguez, Figueroa and Sanchez",Non-Profit,56,CU,STARTER,annual,referral_program,462.26,3,2022-07-03
COMP-0002,"Garcia, Yang and Gardner",Legal,3932,UA,starter_plan,annual,partner_channel,152.27,14,07/08/2023
COMP-0003,Johnson-Davis,Finance,1379,HT,starter_plan,annual,referral,432.49,13,10-06-2022
COMP-0004,"Guzman, Hoffman and Baldwin",Consulting,,ME,Pro,annual,PAID SEARCH,964.64,26,2024-04-29
COMP-0005,"Barnes, Cole and Ramirez",Consulting,850,AF,starter_plan,monthly,Referral,395.64,12,23/11/2022
COMP-0006,Wolfe LLC,Education,168,IT,professional,annual,PARTNER,966.48,10,07-24-2024
COMP-0007,Lewis LLC,Education,3684,CA,STARTER,annual,ORGANIC,242.71,5,02/10/2024
COMP-0008,James LLC,Legal,199,LY,ENTERPRISE,monthly,ORGANIC,7412.58,245,2022-11-11
COMP-0009,"Baker, Williams and Stevens",Consulting,2563,CM,pro,annual,direct sales,618.37,54,2023-12-02
COMP-0010,Miller-Carter,Logistics,78,YE,PROFESSIONAL,annual,direct sales,1021.42,40,2024-09-16
COMP-0011,"Mcclure, Ward and Lee",Energy,,BJ,starter,annual,referral,422.52,10,02/11/2024
COMP-0012,Stanley LLC,Technology,17,BR,starter_plan,annual,paid search,406.17,15,11-28-2023
COMP-0013,Delacruz Group,Finance,2085,IT,enterprise_plan,annual,PARTNER,6984.14,207,06-18-2023
COMP-0014,Reid-Diaz,Real Estate,38,MN,Starter,ANNUAL,paid_search,227.08,3,2024-01-31
COMP-0015,Clark-Adams,Hospitality,134,KZ,STARTER,monthly,referral_program,403.17,11,02-04-2023
COMP-0016,"Jones, Reid and Ferguson",Logistics,1397,HN,STARTER,monthly,DIRECT SALES,168.96,12,20/02/2024
COMP-0017,Ford LLC,Education,98,DZ,PROFESSIONAL,monthly,Paid Search,2077.22,36,10-08-2024
COMP-0018,"Hawkins, Cohen and Cameron",Energy,73,BG,starter,monthly,PaidSearch,290.36,2,2022-06-03
COMP-0019,Underwood LLC,Retail,3853,MZ,STARTER,monthly,DIRECT SALES,352.71,10,04-18-2023
COMP-0020,Jones-Gentry,Hospitality,43,TN,Ent,monthly,Paid Search,8101.82,128,02-08-2023
COMP-0021,"Edwards, Rios and Foster",Technology,629,BA,enterprise,monthly,partner,4051.46,126,04/04/2023
COMP-0022,Thomas-Taylor,Hospitality,14,CH,starter_plan,MONTHLY,Organic,476.64,3,08/07/2024
